rank,highway_length,highway_nodes,highway_tuple,occurrence_count,pct_of_paths,pct_of_paths_min_length,unique_communities_spanned
20,4,BackSilhouettesGW → 360Waves → Barber → BeardAdvice,"('BackSilhouettesGW', '360Waves', 'Barber', 'BeardAdvice')",3,1.35,88.14,2
1,5,AdoptMeTrading → AdoptMeTradingRoblox → BloxFruitsTrades → BalisongSale → AVexchange,"('AdoptMeTrading', 'AdoptMeTradingRoblox', 'BloxFruitsTrades', 'BalisongSale', 'AVexchange')",9,5.77,61.66,2
2,5,ATBandATGcommunity → ButchSelfies → BlackHair → Barber → BeardAdvice,"('ATBandATGcommunity', 'ButchSelfies', 'BlackHair', 'Barber', 'BeardAdvice')",9,5.77,61.66,3
3,5,CampFlogGnaw → AimeLeonDore → Athleta_gap → BlackestFridayDeals → BestThings,"('CampFlogGnaw', 'AimeLeonDore', 'Athleta_gap', 'BlackestFridayDeals', 'BestThings')",6,3.85,61.66,3
4,5,AVexchange → BalisongSale → BloxFruitsTrades → AdoptMeTradingRoblox → AdoptMeTrading,"('AVexchange', 'BalisongSale', 'BloxFruitsTrades', 'AdoptMeTradingRoblox', 'AdoptMeTrading')",6,3.85,61.66,2
5,5,AgencySquad → AdoptMeTrading → AdoptMeTradingRoblox → BloxFruitsTrades → BalisongSale,"('AgencySquad', 'AdoptMeTrading', 'AdoptMeTradingRoblox', 'BloxFruitsTrades', 'BalisongSale')",4,2.56,61.66,3
6,5,AgencySquad → ATBandATGcommunity → ButchSelfies → BlackHair → Barber,"('AgencySquad', 'ATBandATGcommunity', 'ButchSelfies', 'BlackHair', 'Barber')",3,1.92,61.66,2
7,5,Anna_Faith → AimeLeonDore → 1688Reps → BikeShop → AVexchange,"('Anna_Faith', 'AimeLeonDore', '1688Reps', 'BikeShop', 'AVexchange')",3,1.92,61.66,3
8,5,Anna_Faith → AimeLeonDore → Athleta_gap → BlackestFridayDeals → BestThings,"('Anna_Faith', 'AimeLeonDore', 'Athleta_gap', 'BlackestFridayDeals', 'BestThings')",3,1.92,61.66,3
9,5,BombPartyGossip → AmazonWFShoppers → Aliexpress → Buyee → AmazonSeller,"('BombPartyGossip', 'AmazonWFShoppers', 'Aliexpress', 'Buyee', 'AmazonSeller')",3,1.92,61.66,2
10,5,BalisongSale → BloxFruitsTrades → AdoptMeTradingRoblox → AdoptMeTrading → AgencySquad,"('BalisongSale', 'BloxFruitsTrades', 'AdoptMeTradingRoblox', 'AdoptMeTrading', 'AgencySquad')",3,1.92,61.66,3
11,5,AgencySquad → CampFlogGnaw → AimeLeonDore → Athleta_gap → BlackestFridayDeals,"('AgencySquad', 'CampFlogGnaw', 'AimeLeonDore', 'Athleta_gap', 'BlackestFridayDeals')",2,1.28,61.66,4
12,5,ATBGE → AmazonWTF → Aliexpress → Buyee → AmazonSeller,"('ATBGE', 'AmazonWTF', 'Aliexpress', 'Buyee', 'AmazonSeller')",2,1.28,61.66,2
13,5,AnimalJam → AdoptMeTrading → AdoptMeTradingRoblox → BloxFruitsTrades → BalisongSale,"('AnimalJam', 'AdoptMeTrading', 'AdoptMeTradingRoblox', 'BloxFruitsTrades', 'BalisongSale')",2,1.28,61.66,2
14,5,AdoptMeRBX → AdoptMeTrading → AdoptMeTradingRoblox → BloxFruitsTrades → BalisongSale,"('AdoptMeRBX', 'AdoptMeTrading', 'AdoptMeTradingRoblox', 'BloxFruitsTrades', 'BalisongSale')",2,1.28,61.66,3
15,5,BlackCrossdressers → Androgynoushotties → BlackHair → Barber → BeardAdvice,"('BlackCrossdressers', 'Androgynoushotties', 'BlackHair', 'Barber', 'BeardAdvice')",2,1.28,61.66,2
16,5,BundaBoa → CelebsARG_ → Cholansfw → Anna_Faith → AimeLeonDore,"('BundaBoa', 'CelebsARG_', 'Cholansfw', 'Anna_Faith', 'AimeLeonDore')",2,1.28,61.66,3
17,5,BikiniBottomTwitter → AmazonWFShoppers → Aliexpress → Buyee → AmazonSeller,"('BikiniBottomTwitter', 'AmazonWFShoppers', 'Aliexpress', 'Buyee', 'AmazonSeller')",2,1.28,61.66,2
18,5,BalisongSale → BloxFruitsTrades → AdoptMeTradingRoblox → AdoptMeTrading → AnimalJam,"('BalisongSale', 'BloxFruitsTrades', 'AdoptMeTradingRoblox', 'AdoptMeTrading', 'AnimalJam')",2,1.28,61.66,2
19,5,AmazonSeller → Buyee → Aliexpress → AmazonWFShoppers → BombPartyGossip,"('AmazonSeller', 'Buyee', 'Aliexpress', 'AmazonWFShoppers', 'BombPartyGossip')",2,1.28,61.66,2
20,5,AgencySquad → AmazonWFShoppers → Aliexpress → Buyee → AmazonSeller,"('AgencySquad', 'AmazonWFShoppers', 'Aliexpress', 'Buyee', 'AmazonSeller')",1,0.64,61.66,2
